,WSUDAN,NSUDAN,KRT,ESUDAN,CSUDAN,,
2030-01-03 15:00:00,0.5423,0.583454545,0.633454545,0.580923077,0.5655,,
2030-01-03 16:00:00,0.6127,0.685818182,0.730090909,0.628769231,0.661611111,,
2030-01-03 17:00:00,0.636,0.717772727,0.737909091,0.630923077,0.6905,,
2030-01-03 18:00:00,0.6377,0.724636364,0.736818182,0.615692308,0.702666667,,
2030-01-03 19:00:00,0.6555,0.715090909,0.745181818,0.608615385,0.721166667,,
2030-01-03 20:00:00,0.6815,0.692272727,0.752545455,0.609846154,0.737055556,,
2030-01-03 21:00:00,0.696,0.664681818,0.751272727,0.624923077,0.743416667,,
2030-01-03 22:00:00,0.7057,0.640227273,0.746090909,0.649769231,0.744194444,,
2030-01-03 23:00:00,0.7133,0.623454545,0.733090909,0.669923077,0.747583333,,
2030-01-04 00:00:00,0.7132,0.606318182,0.702181818,0.677846154,0.74525,,
2030-01-04 01:00:00,0.7024,0.579590909,0.662818182,0.653615385,0.731666667,,
2030-01-04 02:00:00,0.6914,0.552454545,0.624818182,0.612461538,0.697138889,,
2030-01-04 03:00:00,0.6837,0.522863636,0.583454545,0.557615385,0.68,,
2030-01-04 04:00:00,0.6876,0.482045455,0.543,0.505769231,0.672416667,,
2030-01-04 05:00:00,0.878,0.551909091,0.767090909,0.489615385,0.809555556,,
2030-01-04 06:00:00,0.9087,0.654954545,0.835545455,0.448538462,0.803972222,,
2030-01-04 07:00:00,0.8707,0.640590909,0.800818182,0.371615385,0.740277778,,
2030-01-04 08:00:00,0.8129,0.591681818,0.760181818,0.296846154,0.651194444,,
2030-01-04 09:00:00,0.7348,0.541727273,0.737909091,0.235692308,0.552805556,,
2030-01-04 10:00:00,0.6484,0.522409091,0.730181818,0.183153846,0.465472222,,
2030-01-04 11:00:00,0.5728,0.511136364,0.718363636,0.16,0.41075,,
2030-01-04 12:00:00,0.5092,0.507045455,0.700272727,0.173230769,0.397194444,,
2030-01-04 13:00:00,0.4548,0.517,0.696909091,0.232,0.416333333,,
2030-01-04 14:00:00,0.4233,0.5495,0.707636364,0.316307692,0.458444444,,
2030-01-04 15:00:00,0.4404,0.594636364,0.682090909,0.425461538,0.535277778,,
2030-01-04 16:00:00,0.5643,0.657636364,0.716727273,0.479461538,0.64475,,
2030-01-04 17:00:00,0.636,0.6905,0.731636364,0.506153846,0.697277778,,
2030-01-04 18:00:00,0.659,0.699727273,0.743545455,0.535692308,0.727666667,,
2030-01-04 19:00:00,0.6745,0.691090909,0.748909091,0.565846154,0.753083333,,
2030-01-04 20:00:00,0.7053,0.667636364,0.748,0.580384615,0.773638889,,
2030-01-04 21:00:00,0.7285,0.635545455,0.735545455,0.577,0.814333333,,
2030-01-04 22:00:00,0.7353,0.607090909,0.709727273,0.561615385,0.834972222,,
2030-01-04 23:00:00,0.7326,0.587818182,0.678454545,0.542,0.828611111,,
2030-01-05 00:00:00,0.7127,0.570727273,0.651545455,0.524846154,0.808833333,,
2030-01-05 01:00:00,0.6913,0.5475,0.628272727,0.509153846,0.771472222,,
2030-01-05 02:00:00,0.6895,0.511636364,0.593454545,0.491461538,0.730916667,,
2030-01-05 03:00:00,0.704,0.473227273,0.556363636,0.463538462,0.692083333,,
2030-01-05 04:00:00,0.7237,0.442681818,0.547454545,0.430384615,0.670388889,,
2030-01-05 05:00:00,0.9002,0.502818182,0.799181818,0.390769231,0.773111111,,
2030-01-05 06:00:00,0.9255,0.632545455,0.818363636,0.362153846,0.7465,,
2030-01-05 07:00:00,0.8887,0.6275,0.749363636,0.302692308,0.660861111,,
2030-01-05 08:00:00,0.8377,0.540590909,0.663636364,0.218153846,0.558027778,,
2030-01-05 09:00:00,0.7725,0.445772727,0.583090909,0.15,0.464861111,,
2030-01-05 10:00:00,0.6936,0.382727273,0.532272727,0.126076923,0.397111111,,
2030-01-05 11:00:00,0.6102,0.355136364,0.511181818,0.128692308,0.355333333,,
2030-01-05 12:00:00,0.5369,0.350681818,0.500454545,0.148769231,0.339194444,,
2030-01-05 13:00:00,0.4761,0.367363636,0.493909091,0.208769231,0.342222222,,
2030-01-05 14:00:00,0.4285,0.401409091,0.491818182,0.306076923,0.34825,,
2030-01-05 15:00:00,0.4096,0.503727273,0.529727273,0.410076923,0.407583333,,
2030-01-05 16:00:00,0.4788,0.601045455,0.618545455,0.447,0.522472222,,
2030-01-05 17:00:00,0.5266,0.624954545,0.640090909,0.452769231,0.567694444,,
2030-01-05 18:00:00,0.5541,0.613954545,0.621181818,0.443615385,0.575527778,,
2030-01-05 19:00:00,0.5777,0.592181818,0.575,0.422692308,0.577277778,,
2030-01-05 20:00:00,0.5851,0.570454545,0.526363636,0.400615385,0.587916667,,
2030-01-05 21:00:00,0.576,0.549636364,0.487454545,0.391769231,0.604722222,,
2030-01-05 22:00:00,0.5692,0.527681818,0.460727273,0.392538462,0.603277778,,
2030-01-05 23:00:00,0.5671,0.502,0.442090909,0.393384615,0.593222222,,
2030-01-06 00:00:00,0.5592,0.473954545,0.403545455,0.394153846,0.582305556,,
2030-01-06 01:00:00,0.5405,0.448772727,0.372454545,0.369307692,0.53925,,
2030-01-06 02:00:00,0.5142,0.431409091,0.369363636,0.352230769,0.487444444,,
2030-01-06 03:00:00,0.4978,0.414272727,0.370636364,0.331846154,0.441527778,,
2030-01-06 04:00:00,0.4862,0.377590909,0.332727273,0.279769231,0.377055556,,
2030-01-06 05:00:00,0.5126,0.249454545,0.304545455,0.195230769,0.423722222,,
2030-01-06 06:00:00,0.667,0.327545455,0.474,0.140076923,0.433333333,,
2030-01-06 07:00:00,0.5885,0.399045455,0.394545455,0.078769231,0.332916667,,
2030-01-06 08:00:00,0.4595,0.291272727,0.277181818,0.034846154,0.223638889,,
2030-01-06 09:00:00,0.3355,0.216590909,0.201636364,0.015153846,0.139638889,,
2030-01-06 10:00:00,0.2369,0.187045455,0.152636364,0.011153846,0.091388889,,
2030-01-06 11:00:00,0.1715,0.190727273,0.125818182,0.017923077,0.072805556,,
2030-01-06 12:00:00,0.1362,0.212772727,0.117,0.044923077,0.069638889,,
2030-01-06 13:00:00,0.1262,0.248136364,0.131,0.082923077,0.079888889,,
2030-01-06 14:00:00,0.1434,0.307727273,0.183181818,0.169538462,0.114861111,,
2030-01-06 15:00:00,0.2678,0.439409091,0.381,0.276692308,0.256388889,,
2030-01-06 16:00:00,0.4926,0.539636364,0.601,0.349230769,0.461194444,,
2030-01-06 17:00:00,0.6469,0.546590909,0.674818182,0.407384615,0.622888889,,
2030-01-06 18:00:00,0.7129,0.509681818,0.645727273,0.442384615,0.696083333,,
2030-01-06 19:00:00,0.7236,0.461636364,0.581454545,0.448461538,0.712277778,,
2030-01-06 20:00:00,0.7049,0.420454545,0.511636364,0.431,0.709222222,,
2030-01-06 21:00:00,0.6595,0.396636364,0.458181818,0.402076923,0.683111111,,
2030-01-06 22:00:00,0.6149,0.394409091,0.437454545,0.382230769,0.644333333,,
2030-01-06 23:00:00,0.5849,0.403136364,0.433181818,0.387769231,0.605166667,,
2030-01-07 00:00:00,0.5666,0.406545455,0.416090909,0.431692308,0.557083333,,
2030-01-07 01:00:00,0.5544,0.397454545,0.404909091,0.441153846,0.50925,,
2030-01-07 02:00:00,0.5372,0.380636364,0.413363636,0.426076923,0.464555556,,
2030-01-07 03:00:00,0.5198,0.366181818,0.418454545,0.412307692,0.428222222,,
2030-01-07 04:00:00,0.4934,0.341863636,0.387727273,0.375461538,0.364083333,,
2030-01-07 05:00:00,0.3425,0.258181818,0.205909091,0.325230769,0.240861111,,
2030-01-07 06:00:00,0.4896,0.335090909,0.315454545,0.320230769,0.389694444,,
2030-01-07 07:00:00,0.5915,0.341227273,0.348272727,0.270076923,0.395611111,,
2030-01-07 08:00:00,0.5609,0.247227273,0.256272727,0.215076923,0.333805556,,
2030-01-07 09:00:00,0.508,0.184545455,0.167181818,0.178461538,0.27275,,
2030-01-07 10:00:00,0.4436,0.163545455,0.103818182,0.162846154,0.237277778,,
2030-01-07 11:00:00,0.3807,0.172818182,0.084727273,0.172384615,0.223944444,,
2030-01-07 12:00:00,0.339,0.2035,0.101818182,0.197307692,0.226277778,,
2030-01-07 13:00:00,0.3327,0.257409091,0.153727273,0.244692308,0.243444444,,
2030-01-07 14:00:00,0.3579,0.335681818,0.264818182,0.329461538,0.272305556,,
2030-01-07 15:00:00,0.4674,0.4945,0.519909091,0.472923077,0.416694444,,
2030-01-07 16:00:00,0.6264,0.615772727,0.716181818,0.558153846,0.605166667,,
2030-01-07 17:00:00,0.7111,0.6415,0.749181818,0.579461538,0.709694444,,
2030-01-07 18:00:00,0.7416,0.634727273,0.737909091,0.581384615,0.746305556,,
2030-01-07 19:00:00,0.7518,0.617909091,0.719181818,0.567384615,0.749277778,,
2030-01-07 20:00:00,0.7577,0.600363636,0.688,0.550769231,0.749888889,,
2030-01-07 21:00:00,0.7523,0.586772727,0.647636364,0.541538462,0.738333333,,
2030-01-07 22:00:00,0.7299,0.576454545,0.613363636,0.522461538,0.716583333,,
2030-01-07 23:00:00,0.6999,0.559181818,0.586727273,0.494846154,0.690972222,,
